origen_stop,dest_stop,lines
2346,4435,"['00271', '077A1', '00651']"
4435,2632,['00271']
2632,6075,['00271']
6075,2633,['00271']
2633,2369,['00271']
2369,2370,['00271']
2370,2371,['00271']
2371,2372,"['00271', '077A1', '077X1']"
2372,2373,"['00271', '077A1', '077X1']"
2373,2377,"['00271', '077A1']"
2377,4647,['00271']
4647,2378,['00271']
2378,2183,"['00271', '077A1']"
2183,2184,"['00271', '077A1', '01230']"
2184,2185,"['00271', '077A1', '01230']"
2185,7043,"['00271', '077A1', '01511', '056A1']"
7043,1424,"['00271', '077A1', '01511', '056A1']"
1424,2186,"['00271', '077A1', '01511', '056A1']"
2186,2187,"['00271', '077A1', '01511', '056A1']"
2187,2188,"['00271', '077A1', '01511', '056A1']"
2188,2189,"['00271', '077A1', '01511', '056A1']"
2189,1436,"['00271', '077A1', '01511', '056A1']"
1436,3952,"['00271', '077A1', '01511', '056A1', '00171']"
3952,2190,"['00271', '077A1', '01511', '056A1', '00171']"
2190,4434,"['00271', '077A1', '01511', '056A1', '077X1']"
4434,2379,"['00271', '077A1', '01511', '056A1', '077X1']"
2379,2380,"['00271', '077A1', '01511', '056A1', '077X1']"
2380,2382,"['00271', '077A1', '01511', '077X1']"
2382,5099,"['00271', '077A1', '01511', '077X1']"
5099,2383,"['00271', '077A1', '01511', '056A1', '077X1']"
2383,2002,"['00271', '077A1', '00491', '077X1']"
2002,1358,"['00271', '077A1', '00401', '00491', '077X1', '068X1']"
1358,298,['00271']
298,496,['00271']
496,497,"['00271', '027A0']"
497,515,"['00271', '00151', '00141', '027A0', '00430', '00420', '00530']"
515,516,"['00271', '00151', '027A0', '01300', '00430', '00320', '00420', '00310', '029A0', '00530', '031A0', '031B0']"
516,4384,"['00271', '00151', '00141', '027A0', '01300', '00430', '00320', '00420', '00310', '029A0', '00530', '031A0', '031B0']"
4384,519,"['00271', '00151', '00141', '027A0', '01300', '00430', '00320', '00420', '00310', '029A0', '031A0', '031B0']"
519,521,"['00271', '00151', '00141', '027A0', '01300', '00430', '00320', '00420', '00310', '029A0', '031A0']"
521,522,"['00271', '00151', '00141', '027A0', '01300', '00430', '027B0', '00320', '00420', '00310', '029A0', '031A0', '031B0']"
522,7659,"['00271', '00151', '00141', '027A0', '00320', '00420', '00310', '031A0', '031B0', '032X1']"
7659,669,"['00271', '027A0', '00420']"
669,670,"['00271', '00151', '00141', '027A0', '00430', '027B0', '00420']"
670,671,"['00271', '00151', '00141', '00430', '00420']"
671,672,"['00271', '00151', '00141', '00430', '027B0', '00420']"
672,4382,"['00271', '00151', '00141', '00430', '00420']"
4382,1196,"['00271', '00151', '00430', '00420', '027X0']"
1196,1197,"['00271', '027A0', '00430', '00420', '01040', '027X0']"
1197,1198,"['00271', '027A0', '00430', '00420', '027X0']"
1198,1199,"['00271', '00151', '00430', '00420', '027X0']"
1199,1200,"['00271', '00430', '00420', '027X0']"
1200,1201,['00271']
1201,523,['00271']
523,4695,['00271']
4695,1243,"['00271', '027X0']"
1243,4697,['00271']
4697,1250,"['00271', '027X0']"
1250,4698,"['00271', '027X0']"
4698,4383,"['00271', '027X0']"
4383,4388,['00271']
4388,4700,['00271']
4700,1266,['00271']
1266,1267,"['00271', '027X0']"
1267,1268,"['00271', '027X0']"
1268,1269,"['00271', '027X0']"
1269,4385,['00271']
4385,1265,['00271']
1265,6115,"['00271', '027X0']"
6115,4849,"['00271', '00420', '027X0']"
